time		temp
0.794521	14.6792
0.79726		9.4208
0.8		4.3125
0.80274		6.1375
0.805479	9.3083
0.808219	9.2792
0.810959	7.3375
0.813699	3.4083
0.816438	3.9708
0.819178	0.7625
0.821918	1.8875
0.824658	0.9083
0.827397	1.7375
0.830137	6.8125
0.832877	7.6125
0.835616	7.0292
0.838356	9.4792
0.841096	7.0042
0.843836	4.025
0.846575	7.2125
0.849315	8.1958
0.852055	7.4333
0.854795	7.1714
0.857534	6.6542
0.860274	7.5125
0.863014	8.3958
0.865753	8.6417
0.868493	7.1292
0.871233	7.1125
0.873973	8.2917
0.876712	5.5917
0.879452	4.5261
0.882192	3.5958
0.884932	1.9167
0.887671	0.875
0.890411	0.7556
0.893151	0.1182
0.89589		-1.775
0.89863		-2.7542
0.90137		-3.9833
0.90411		-5.6625
0.906849	-7.9583
0.909589	-7.4625
0.912329	0.6708
0.915068	2.3375
0.917808	2.5042
0.920548	3.7292
0.923288	5.4542
0.926027	3.2917
0.928767	-0.4583
0.931507	0.3083
0.934247	1.6
0.936986	4.9917
0.939726	3.5167
0.942466	0.7458
0.945205	2.0458
0.947945	0.1588
0.950685	-0.9824
0.953425	-1.6083
0.956164	-1.6917
0.958904	-0.2708
0.961644	-1.6458
0.964384	-2.2826
0.967123	0.7792
0.969863	0.275
0.972603	-1.8375
0.975342	-3.0792
0.978082	-5.6
0.980822	-4.7125
0.983562	2.5292
0.986301	1.9833
0.989041	3.3792
0.991781	0.7792
0.994521	0.8375
0.99726		-0.5
1		-0.0042
